sex,any_disability,educ_grp,mean_earnings,median_earnings
Female,0,<HS,37539.637681159424,29000
Female,0,HS,38561.49504950494,33500
Female,0,Some/AA,46695.868155619595,40000
Female,0,BA,67617.26749760307,60000
Female,0,MA,82425.2407261247,73000
Female,0,GD,129216.393442623,100000
Female,1,<HS,34720,22000
Female,1,HS,31126.25,27250
Female,1,Some/AA,39392.186788154904,33300
Female,1,BA,50529.51048951049,42500
Female,1,MA,69477.05882352943,66000
Female,1,GD,75085.36585365854,58000
Male,0,<HS,49780.87786259543,40000
Male,0,HS,56647.75318635893,50000
Male,0,Some/AA,67887.3482428113,60000
Male,0,BA,98485.85762637832,80000
Male,0,MA,124710.67201976513,104000
Male,0,GD,177077.20085470082,124000
Male,1,<HS,45353.04568527919,40000
Male,1,HS,48812.581206496514,41350
Male,1,Some/AA,56445.61133353865,50000
Male,1,BA,77416.47058823533,65000
Male,1,MA,97797.63120567374,87000
Male,1,GD,110827.24137931033,92000
